time,asset,AdrActCnt,CapMVRVCur,CapMrktCurUSD,HashRate,NVTAdj,PriceUSD,SplyCur,TxCnt,TxTfrValAdjUSD,VelCur1yr
2018-04-16 00:00:00+00:00,btc,721332,1.54777167,136650419244.8130406136011366275,26910340.4324546,65.42966774,8046.98213354763,16981573.58584425,194303,2088508530.7735034158443973848,34.8228228358825
2018-04-17 00:00:00+00:00,btc,614295,1.51791712,133962175227.6290849750931612375,30918263.4755861,59.30482158,7887.73795791935,16983598.58584425,204094,2258874939.004675828978478416,34.7872902413826
2018-04-18 00:00:00+00:00,btc,588686,1.57002305,138650636284.675138861967912745,30536556.5190974,80.05011702,8162.83486177674,16985598.58584425,200441,1732047890.0887830341321085816,34.730838251533
2018-04-19 00:00:00+00:00,btc,657714,1.58612722,140539709293.916032982493060445,33971919.1274958,54.32945132,8272.96731589714,16987823.58584425,215282,2586805238.793638097736629958,34.7052150195668
2018-04-20 00:00:00+00:00,btc,661833,1.69131108,150179023464.443807972003318975,26146926.5194772,61.53501228,8839.5011320865,16989536.08584415,210669,2440545925.118610144829073655,34.6739270803821
2018-04-21 00:00:00+00:00,btc,602722,1.69378446,150605063050.850488682354212061,30345703.0408531,72.85727033,8863.54082904734,16991523.58584415,191121,2067124699.6360702443749072144,34.6294894366673
2018-04-22 00:00:00+00:00,btc,502665,1.68092587,149559305824.316205618725068257,30536556.5190974,96.06425379,8800.95908708358,16993523.58583415,168980,1556867408.2483851869800327524,34.5945771856229
2018-04-23 00:00:00+00:00,btc,642298,1.70339486,151782579435.7191986239668292645,29200582.1713869,62.60259418,8930.78463354763,16995436.08582415,227377,2424541369.5597967486414096324,34.5751844713738
2018-04-24 00:00:00+00:00,btc,776436,1.83531084,164062766307.8072568263528792075,30345703.0408531,45.58973223,9652.21378872005,16997423.58582415,253956,3598677997.7133996161706751285,34.5454609815255
2018-04-25 00:00:00+00:00,btc,701507,1.68455575,150534451808.2068436251551529785,23474977.8240562,49.35961776,8855.50893658679,16998961.08582415,217684,3049749139.8744297261684606491,34.4579354147791
2018-04-26 00:00:00+00:00,btc,661663,1.75708104,157507070083.4660934111389846055,26910340.4324546,60.11872818,9264.72742694331,17000723.58582405,217258,2619933502.3833813003891183126,34.3977056548698
2018-04-27 00:00:00+00:00,btc,674680,1.70402847,152705064058.872612348200083261,27882432.4329455,59.45793327,8981.33079018118,17002498.58582395,212647,2568287454.203802279086018962,34.3251761397185
2018-04-28 00:00:00+00:00,btc,541764,1.77091583,158849307909.906925628390317314,25592018.8297845,85.34615032,9341.82468468732,17004098.58582395,194970,1861235771.193160302079798428,34.2719971586378
2018-04-29 00:00:00+00:00,btc,549120,1.78054751,159806033177.3194633943850831255,31590148.2430152,79.11565195,9396.99762974869,17006073.58582395,183812,2019904143.3199153361747299467,34.2406081873831
2018-04-30 00:00:00+00:00,btc,645424,1.74740041,156962282341.706262683491805435,30990335.3016921,72.98173203,9228.7264836353,17008011.08582395,215603,2150706457.381466890362976587,34.2181310173405
